user1,user2
3077,4439
4439,1493
1493,27
27,2935
2935,199
199,4638
4638,3211
3211,3949
3949,619
619,145
145,4317
4317,3566
3566,705
600,1435
1435,2458
2458,1158
1158,4237
4237,2929
2929,2605
2605,83
83,3629
3629,335
335,1615
1615,1007
1007,1242
1242,3876
27,1074
1074,3531
3531,2853
2853,2201
2201,4647
4647,1498
1498,420
420,3676
3676,149
149,299
299,4638
4638,2955
2955,4641
4641,3664
3664,2337
2337,4471
4471,3491
3491,2129
2129,1918
1918,1606
1606,3998
3998,2298
2298,4302
4302,1099
1099,4678
600,2989
2989,89
89,27
27,1505
3928,4321
4321,795
795,4493
4493,1394
1539,3662
3662,3949
3949,3331
3331,1537
1537,1203
1203,643
643,755
755,3838
3838,335
335,2695
2695,2009
2009,829
2064,1158
1158,340
340,1183
1183,600
600,2399
2399,1413
1413,2406
2406,1690
1690,4574
4574,2434
2434,367
367,4662
1435,335
335,4662
4662,27
27,4295
4295,3007
3007,1998
1998,3648
3648,3676
3676,1620
1620,2679
2679,2458
2458,311
311,835
835,1894
1894,1114
1114,439
4533,3372
3372,929
929,1507
1507,2022
4662,4274
4274,856
856,252
252,1694
1694,1633
1633,3415
3415,27
4266,135
135,4551
4551,2131
2131,3175
3175,327
327,1027
1027,701
701,561
561,1551
1551,286
286,4034
4034,3165
1435,584
584,4574
4574,537
537,1158
1158,4534
4534,1525
1525,2510
2510,3958
3958,4147
3027,3380
3380,3791
3791,1864
1864,1118
1118,2427
2427,1849
1849,27
27,50
404,4246
4246,27
27,4479
4479,2887
2887,443
2298,3998
3998,4302
4302,1606
1606,1099
1099,1918
1088,1536
1536,2582
2582,1070
1070,1868
1868,3849
3849,1512
27,3230
3230,4311
4311,2072
2072,4257
4257,869
869,900
900,1864
1864,2427
2427,2064
2064,584
584,2742
2742,2654
2654,3892
3892,1681
1681,2620
2620,2580
560,2104
2104,4383
4383,2944
2944,27
27,701
701,2770
398,2701
2701,4016
4016,1551
1551,4066
4066,1808
1808,1009
1009,2607
2607,4592
4592,27
27,3989
3989,3007
3007,115
115,4383
4383,303
303,4303
4303,4326
4326,172
172,1608
1608,2555
2555,3325
3325,4214
60,1084
1084,3453
3453,3876
3876,1242
1242,1553
1158,4545
4545,2107
2107,4352
4352,1413
1413,2989
2147,1266
1266,2642
2642,27
27,4609
4609,240
240,2210
2210,4620
4620,3897
3897,210
4041,804
804,2186
2186,1242
1242,335
335,600
600,1158
1158,4184
4184,1349
1349,100
100,4662
4662,584
584,1395
1395,613
613,498
498,4237
4237,3723
3723,2487
2487,46
46,2296
2296,2894
2894,216
216,3524
3524,4504
4504,3266
3266,4671
4671,537
537,4137
4137,3616
3616,1872
1872,256
256,3673
3673,4103
4103,2598
2598,1189
1189,1299
1299,3756
3756,2911
2911,1093
1093,622
622,3596
3596,458
458,288
288,3815
3815,1659
1659,1904
1904,1574
1574,64
64,953
953,890
890,777
777,1920
1920,2497
2497,3532
3532,1195
1195,2172
2172,4645
4645,4411
4411,2064
2064,3053
3053,820
820,4219
4219,1328
1328,3455
3455,4200
4200,1541
1541,3526
3526,4000
4000,2485
2485,3019
3019,897
897,881
881,3946
3946,1061
1061,2901
766,3931
3931,2009
2009,1073
1073,3288
3288,149
3474,1242
1242,3876
3876,3453
3453,3532
2970,1806
1806,1466
1466,1364
1364,3454
3454,145
145,340
2384,4183
4183,3299
3299,1870
1870,797
797,4334
4334,443
4612,950
950,537
537,856
856,1117
1117,3521
3521,1435
1435,4534
4534,1281
1281,1158
1158,335
335,918
918,4574
4574,1113
1113,1537
1537,1341
1341,4621
4621,1349
1349,2713
27,747
747,3306
3306,58
58,4535
4535,3141
4041,804
804,4432
4432,393
393,1095
1095,1032
1032,729
729,366
2987,2390
2390,2004
2004,1539
1539,3662
3662,3992
3992,1582
1582,4545
4545,3331
1158,288
288,1659
1659,3855
3855,3903
3903,414
46,216
216,1537
1537,1341
1341,2296
2296,4504
4504,2145
2145,3253
1612,27
27,4298
4298,3557
3557,3454
3454,1494
1494,3378
211,27
27,1564
1564,2336
2336,4479
4479,3139
3139,2877
2877,725
725,2405
2405,601
601,4303
1196,261
261,1536
1536,1092
1092,3102
3102,776
776,2746
2746,2582
2582,1265
1265,1179
1179,1070
1070,3849
3849,2980
2980,2981
2981,741
741,1868
1868,1519
1519,1465
1465,3776
3776,4067
4067,453
453,1161
1161,2889
2889,2538
2538,2763
2763,1088
2989,2043
2043,1546
1546,1592
1592,1565
537,1844
1844,498
498,1063
1063,2189
2189,3720
3720,2810
2810,2200
2600,2301
2301,2627
2627,3849
3849,1468
1468,3948
1912,48
48,3243
3243,2998
2998,1158
3714,600
600,340
340,650
650,2533
2533,4201
4201,1899
1899,4044
4044,1500
1500,1219
1219,430
430,2104
2104,541
887,2996
2996,4113
4113,1537
1537,335
335,3524
3524,4386
4386,1341
1341,4594
4594,679
679,4041
4041,1802
1802,1315
1315,2524
2524,422
422,1158
1158,1183
1183,2137
2137,2229
2229,3664
3664,3242
3242,1113
1113,4498
4498,3281
3281,2747
2747,4286
4286,804
804,4612
4612,4375
4375,4400
4400,4683
4683,4662
4662,1615
1615,3736
3736,3762
3762,2800
2800,3256
3256,360
1093,1742
1742,3543
3543,4041
4041,804
804,2510
609,335
335,3815
3815,3266
3266,4700
4700,2894
2894,3593
3593,1928
1928,498
498,288
288,1158
1158,930
930,4224
4224,98
1862,1868
1868,857
857,3132
3132,1635
4499,452
452,4164
4164,2575
2575,4200
4200,899
899,1950
1950,687
687,482
2764,1512
1512,3728
3728,776
776,2633
2633,1410
1410,113
113,3849
3849,194
1158,4219
4219,288
288,1702
1702,3053
3053,1183
1183,3039
3039,1528
1528,1283
1283,2288
2288,4509
4509,468
468,1285
1285,2097
2097,1659
1659,3962
3962,2528
2528,1994
1994,1276
1276,4265
4265,3783
3783,1021
1021,3130
3130,2740
2740,886
886,3228
3228,4071
4071,2550
2550,3714
3714,2078
3863,4453
4453,4556
4556,27
27,339
339,4397
27,1968
1968,972
972,725
725,4265
4265,3912
3912,3806
3806,4316
4316,942
942,3176
329,237
237,115
115,2217
2217,1250
1250,639
639,649
649,747
747,3635
170,3337
3337,766
766,2187
2187,2523
2523,1899
1899,4553
4553,2990
2990,2004
3759,145
145,2137
2137,422
422,1355
1355,414
414,3130
3130,3895
3895,1183
1183,1158
1158,288
3785,1367
1367,335
335,3197
3197,2027
2027,1537
1537,2159
2159,1802
1802,3843
3843,3169
3169,4441
4441,4368
4368,3482
2721,160
160,11
11,27
27,747
747,4079
4079,2681
2681,2677
2677,2497
2497,137
2506,333
333,1958
1958,3396
3396,1423
1423,2278
2278,266
266,3987
2966,534
534,2989
2989,2229
2229,3053
3053,4499
4499,107
107,584
584,1798
1798,2043
2043,358
2403,3362
3362,4138
4138,4152
4152,2767
2767,565
565,1668
1668,271
2658,1868
1868,727
727,1512
1512,776
776,511
511,3656
3656,4350
3593,140
140,3524
3524,2510
2510,1283
27,3876
3876,1537
1537,4434
4434,1722
1722,3244
3244,1764
1764,2043
2043,4370
4370,2928
2928,4032
4032,2760
2916,2534
2534,4278
4278,2075
2075,4327
4327,947
947,3194
3194,3749
1326,4394
4394,3859
3859,3182
3182,3158
740,1939
1939,2989
2989,2550
2550,2970
2970,4520
4520,1690
1690,155
155,2532
2532,911
911,3516
3516,550
1901,2561
2561,3687
3687,576
576,4335
3859,830
830,909
909,4394
4394,814
288,1183
1183,1158
1158,4113
4113,321
321,340
335,1537
1537,1615
1615,1158
1158,4441
4441,3785
3785,3197
3197,4368
4368,537
537,2159
2159,1367
1367,1802
1802,4430
4430,4183
4183,2286
2286,3637
3637,46
46,4504
4504,4184
4184,82
2345,3454
3454,27
27,4034
4034,1881
1881,1959
1959,2701
2701,302
302,3683
3683,2099
2099,215
215,1183
1183,3465
3465,4522
4522,4298
4298,4434
4434,2900
2900,549
549,3129
3129,458
458,899
899,142
142,740
740,3526
3526,4115
4115,2043
2043,70
70,1597
1597,107
107,4114
4114,3887
3887,1330
1330,898
898,3994
3994,1158
1158,1113
1113,746
746,2731
2731,4638
4638,422
422,2497
2497,256
256,2944
2944,4301
4301,3117
2658,741
741,4433
4433,2746
2746,2981
2981,1179
1179,4067
4067,3776
3776,1519
1519,1766
1766,2400
2400,3820
335,918
918,1435
1435,4534
4534,3521
3521,414
1402,1199
1199,4616
4616,4077
4077,1433
1433,10
10,2075
2075,3166
4038,1188
1188,3935
3935,3638
3638,1147
1147,3677
3677,1303
1303,3714
3714,1359
1359,1936
1936,3112
3112,899
899,3561
3561,27
27,584
584,1932
1932,978
3117,822
822,600
600,2311
2311,2761
2761,468
468,268
268,2533
2533,1588
1588,2418
2418,2651
2651,3324
2137,1758
1758,288
288,422
422,1183
1183,1158
1158,3962
3962,2240
2240,1113
1113,1607
1607,3059
3059,1702
1702,1764
1764,4662
4662,3946
3946,4265
4265,3478
3478,3425
3425,4255
4255,451
451,430
430,1659
1659,2810
2810,4353
4353,1393
1393,379
379,2283
2283,534
534,893
893,2498
2498,1064
1064,559
559,3112
3112,3242
3242,468
468,4638
4638,1256
1256,3665
3665,622
622,4114
4114,2816
2816,1409
1409,2097
2097,3650
3650,856
3875,2394
2394,3431
3431,367
367,1539
1539,940
940,4545
4545,3415
2479,1673
1673,3295
3295,1504
1504,3907
3907,3959
4544,3352
3352,4064
4064,730
730,4639
4639,3529
3529,1047
1047,3048
1203,755
755,3033
3033,3673
3673,407
407,2394
2394,1151
1151,1998
1998,1098
1098,1411
1411,1582
1582,3474
3474,3492
551,27
27,4574
4574,1397
1397,106
106,2480
2480,3759
3759,2137
2137,2705
2705,422
422,1183
1183,1113
1113,2158
2158,382
382,3664
3664,2229
2229,2810
2810,3318
3318,3380
3380,1904
1904,541
541,46
46,1106
1106,2497
2497,2808
2808,3055
3055,3714
3714,3366
3366,2989
2989,982
982,1020
1020,467
467,1466
1466,1146
1146,2107
2107,2060
2060,1453
1453,99
99,2294
2294,3198
3198,4259
4259,3007
3007,1894
1894,4686
4686,3272
3272,2064
2064,278
278,2895
2895,1602
1602,3836
3836,1989
1989,1287
1287,3414
3414,2176
2176,747
747,3032
3032,1498
1498,2704
2704,4021
4021,4114
4114,721
721,173
173,2
2,227
227,4697
4697,1677
1677,3737
3737,2478
1435,1158
1158,4068
4068,1242
1242,2540
2540,2998
2998,335
335,1281
1281,725
725,2047
2047,1113
1113,1349
1349,4574
4574,3521
3521,4203
4203,4534
4534,3946
3692,288
288,4265
4265,2043
2043,3324
3324,1183
1183,1659
1659,2497
2497,1168
1168,3962
3962,1466
1466,2524
2524,3714
3714,541
541,2928
2928,1607
1607,2808
2808,1366
1366,1727
1727,4240
4240,2240
2240,1064
1064,2407
2407,219
219,1029
1029,2550
2550,954
954,3249
3249,2221
2221,901
901,3059
3059,339
339,2031
2031,2332
2332,3939
3939,1364
1364,3077
3077,76
76,4622
4622,2078
2078,1702
534,2740
2740,1659
1659,2810
2810,2524
2524,3714
3714,2859
2859,422
422,339
339,3946
3946,1349
2610,3175
3175,3816
3816,4066
4066,1415
1415,888
3768,757
757,2317
2317,2977
2977,1709
2864,690
690,3023
3023,50
50,3648
3648,1387
1387,4265
4265,1189
1189,2987
2987,4619
4619,1920
1920,4271
4271,3206
3206,4263
4263,2429
2429,4411
4411,2051
2051,430
430,4274
4274,1797
1797,3390
2137,2740
2740,1005
1005,288
288,3962
3962,451
451,786
786,600
600,447
447,2524
2524,399
399,1113
1113,2724
2724,4574
4574,4255
4255,2532
2532,1466
1466,1283
1283,4000
4000,1528
1528,720
3900,27
27,1471
1471,747
747,2750
2750,2915
2915,3524
3524,856
3287,27
27,4224
4224,615
615,747
747,3981
822,430
430,2657
2657,1646
1646,1595
1595,3982
3982,2122
2122,4179
4179,3965
3965,331
331,2434
2434,626
626,2526
2526,3584
3584,2376
2376,1113
1113,399
2506,1119
1119,333
333,2278
2278,1093
1093,523
523,1423
1423,1743
1743,4348
4348,266
266,1357
1357,3879
3478,744
744,1764
1764,2687
2687,1936
1936,2357
2357,2172
2172,725
725,420
2980,3497
3497,1862
1862,1410
1410,2534
2534,4350
4350,466
466,1527
1527,3948
3948,572
572,2916
2916,4185
4185,3032
3032,1174
170,1998
1998,852
852,252
252,4576
4576,1320
1320,594
594,2004
2004,643
643,1203
1203,3220
3220,755
755,1633
1633,4126
4126,2002
2002,4477
4477,4397
4397,908
908,1706
1706,439
439,2503
4574,936
936,1904
1904,1574
1574,1659
1659,3669
3669,1020
1020,1741
1741,1863
1863,3972
3972,2562
1280,78
78,237
237,4599
4599,600
600,1588
1113,1154
1154,3467
3467,290
290,3404
2160,1227
1227,1581
1581,1356
1356,3701
3701,422
422,4257
4257,2340
2340,584
584,2302
2302,970
970,4065
4065,144
144,4557
4557,2267
2267,1967
1967,2011
2011,4369
4369,3981
3981,1074
1074,3287
3287,27
27,555
555,3585
3585,2507
2507,2083
2083,4662
4662,1601
1601,145
145,4144
4144,686
686,551
551,1911
1911,2852
2852,4106
4106,4638
4638,1158
1158,1242
1242,3579
3579,1818
1818,3879
3879,4699
4699,4461
4461,1549
1549,1638
1638,4499
4499,1172
1172,3526
3526,2655
2655,2455
2455,585
585,4054
4054,2960
2960,55
55,3703
3703,4531
4531,4182
4182,432
432,3357
3357,3400
3400,95
95,3979
3979,4251
4251,4241
4241,3912
3912,3383
3383,4314
4314,443
443,769
769,2831
2831,3836
3836,747
747,66
66,1266
1266,1001
1001,2185
2185,4113
4113,3306
3306,2181
2181,2478
2478,96
96,3624
3624,2550
2550,4181
4181,4307
4307,4454
4454,4101
4101,423
423,4585
4585,3766
3766,2282
2282,1314
1314,1061
1061,1678
1678,2466
2466,4484
4484,1975
1975,721
721,1926
1926,4043
4043,2540
2540,3743
3743,4567
4567,478
478,4470
4470,1228
1228,1612
1612,1495
1495,1357
1357,856
856,1537
1537,1707
1707,1284
1284,4625
4625,1479
1479,984
984,1441
1441,2756
2756,1147
1147,3638
3638,1009
1009,899
899,1580
1580,3677
3677,3282
3282,3414
3414,1493
1493,4319
4319,102
102,1210
1210,2497
2497,870
870,4003
4003,2928
2928,3732
3732,449
449,2513
2513,3308
3308,111
111,858
858,1840
1840,1497
1497,766
766,3243
3243,3118
3118,3991
3991,3346
3346,2695
2695,2553
2553,2971
2971,3489
3489,3679
3679,2915
2915,4418
4418,1110
1110,1831
1831,4085
4085,4460
4460,345
345,3749
3749,2204
2204,1605
1605,663
663,3936
3936,3380
3380,4152
4152,692
692,106
106,4710
4710,2184
2184,1982
1982,335
335,3416
3416,3422
3422,1907
1907,3887
3887,1557
1557,2112
2112,4403
4403,1705
1705,838
838,621
621,3618
3618,3851
3851,1969
1969,80
80,409
409,2039
2039,1297
1297,2898
2898,2062
2062,2246
2246,4201
4201,1624
1624,3007
3007,3880
3880,3427
3427,2998
2998,1966
1966,3867
3867,2871
2871,2416
2416,931
931,3490
3490,3387
3387,2571
2571,1201
1201,2685
2685,667
667,1341
1341,4114
4114,3712
3712,2473
2473,46
46,3390
3390,3117
3117,779
779,3299
3299,45
45,2137
2137,4383
4383,4549
4549,725
725,4652
4652,4021
4021,1764
1764,40
40,1551
1551,2765
2765,1653
1653,3146
3146,2372
2372,3445
3445,4022
4022,4704
4704,2965
1537,2824
2824,4560
4560,3874
3874,1504
856,3080
3080,4640
4640,2107
2107,584
584,1183
1183,1450
1450,1500
1500,3183
3183,1755
1755,1157
1358,534
534,3939
3939,2524
2524,1158
1158,46
46,3077
3077,2158
2158,2229
2229,288
288,3962
3962,4291
4291,1500
1500,1183
1183,2661
2661,4271
4271,3714
3714,986
986,3991
3991,615
615,1551
1551,494
494,4265
4265,3759
3759,2137
2137,422
422,1314
1314,1910
1910,3664
3664,3903
3903,822
822,3855
3855,2989
2989,399
399,360
360,3183
3183,4630
4630,2533
2533,2107
2107,3334
3334,2532
2532,3190
3190,2756
2756,3524
3524,1607
898,22
22,2296
2296,46
46,584
584,2172
2172,4504
4504,886
886,3221
3221,1304
1304,27
27,78
78,61
61,2104
2104,941
1119,2506
2506,333
333,3987
3987,1423
1423,2278
2278,2785
2785,266
266,845
845,1109
2724,4113
4113,1227
1227,1537
1537,335
335,2529
2529,4057
4057,1158
1158,3351
3351,684
684,3941
3941,232
232,3843
3843,3551
288,451
451,4545
4545,1158
1158,2524
2524,1183
1183,2137
2137,3130
3130,4405
4405,1409
1409,4255
4255,1690
1690,3059
3059,2810
2810,3962
3962,2410
2410,4195
4195,2938
2938,2388
2388,3940
3940,3393
3393,3020
3020,2194
2194,2877
2877,541
541,1224
1224,62
1158,2524
2524,288
288,422
422,1314
1314,1113
1113,360
360,1183
1183,3962
3962,3478
3478,3664
3664,3130
3130,2714
2714,4255
4255,4113
4113,4093
4093,600
600,3380
3380,2989
2989,541
541,71
71,4184
4184,2138
615,4113
4113,1615
1615,3878
3878,430
1025,2138
2138,3606
3606,3353
3353,1057
1057,2038
2038,2788
27,3946
3946,1704
1704,3004
3004,2640
2640,615
615,339
339,3918
340,1853
1853,2342
2342,437
437,459
459,2211
2211,4001
4001,504
504,2423
2423,2201
2201,584
584,1154
1154,4630
4630,256
256,2881
2881,3642
3642,101
101,818
818,2935
2935,1902
1902,1302
1302,1221
1221,3937
3937,4648
4648,1021
3372,2022
2022,4564
4564,1060
1060,1695
1695,2143
2143,4229
4229,1731
2740,3759
3759,1158
1158,1500
1500,4255
4255,1314
1314,3664
3664,3079
3079,397
397,288
288,1183
1183,541
541,2808
2808,4505
4505,1534
1534,4113
4113,3895
3895,1746
1746,1910
1910,1546
1546,1965
1965,2229
2229,3629
3629,1574
1574,2989
2989,1904
1904,4509
1615,2588
2588,3003
3003,35
35,4184
4184,3370
3370,615
615,298
298,27
27,2987
2987,1872
1872,1537
1537,4021
4021,2827
2827,3609
3609,1314
1314,1634
643,170
170,3047
3047,1633
1633,2432
2432,1098
1098,3264
3264,1203
1203,420
420,2894
2894,897
897,615
615,4148
4148,3426
3426,2221
2221,1054
1054,4619
4619,27
27,1813
1813,4265
4265,1764
1764,231
231,3246
3246,1713
1713,322
322,864
864,3208
3208,2861
2861,2794
2063,240
240,2210
2210,4620
4620,1805
4000,1770
1770,1158
1158,578
578,4695
4695,2550
2550,1364
1956,2034
2034,3479
3479,1897
1897,3779
3779,2884
2884,1390
1390,3984
3984,4665
4665,1715
1715,4180
335,1158
1158,4534
4534,1435
1435,1525
1525,1242
1242,2254
2254,4574
912,2556
2556,1539
1539,3272
3272,3662
3662,3130
3130,149
149,2807
2807,789
789,4086
4086,3367
1080,1799
1799,1701
1701,4552
4552,3364
3364,3673
2754,2822
2822,141
141,4435
4435,4274
4274,1920
1920,563
563,4007
4007,600
600,561
4509,340
340,1238
1238,1158
1158,3676
3676,1466
1466,534
534,998
998,134
134,4545
4545,3631
3631,2583
2583,2936
2936,1500
1500,3959
3959,2406
2406,1413
1413,584
584,1607
1607,2740
2740,2158
2158,1314
1314,2137
2137,600
600,3051
3051,2062
2062,2998
2998,4149
4149,3478
3478,4574
4545,1355
1355,1882
1882,2998
2998,2229
2229,4478
4478,101
4341,3456
3456,930
930,609
609,537
537,3375
3375,582
189,2504
2504,4687
4687,3735
3735,27
27,3372
3372,654
877,1876
1876,3781
3781,2314
2314,1200
1200,4642
4642,1725
1725,1621
3497,4069
4069,1426
1426,2093
2093,876
876,4232
4232,3329
3329,3868
3868,3658
50,1237
1237,1387
1387,898
898,2708
1158,2137
2137,422
422,1183
1183,288
288,541
541,1659
1659,2810
2810,399
399,3053
3053,382
382,3962
3962,3607
3607,4308
4308,430
430,2225
2225,1782
1782,1466
1466,3117
3117,4326
4326,3757
3757,3415
3415,2342
2342,4255
4255,1546
1546,1690
1690,4052
4052,1745
1745,1054
1054,3912
3912,2816
2816,4224
4224,1540
1540,1242
1242,623
623,1485
1485,1147
1147,2998
2998,3390
3390,2532
2532,4219
4219,320
320,2395
2395,2796
2796,3251
3251,4201
4201,3843
3843,649
1281,1158
1158,1435
1435,4421
4421,335
335,3007
3007,3815
3815,155
155,1242
1242,541
541,3090
3090,725
725,2172
2172,3454
3454,748
748,4383
4383,3752
2062,1545
1545,1158
1158,2406
2406,3959
3959,1364
1904,46
46,725
725,27
27,562
562,1366
4126,2229
2229,584
584,3727
3727,27
27,3418
3418,1797
1797,1158
1158,4534
4534,335
335,1113
1113,1242
1242,1942
1942,1579
1579,4137
4137,2225
2225,4169
4169,3350
3350,462
462,2756
2756,1281
1281,600
600,2532
2532,2989
2989,3080
3080,2540
2540,2041
2041,1112
1112,107
107,1704
1704,214
214,890
890,3946
3946,2713
2713,1615
1615,225
225,288
288,1954
1954,930
930,72
72,3804
3804,2497
2497,1248
1248,4700
4700,3637
3637,3815
3815,629
629,3723
3723,3508
3508,1227
1227,3757
3757,4662
4662,2510
2510,2266
2266,4612
4612,1848
1848,3876
3876,865
865,777
777,3053
3053,3262
3262,4165
4165,4316
4316,899
899,339
339,3488
3488,725
725,1551
1551,848
848,3694
3694,1157
1157,1406
1406,4507
4507,2757
2757,1415
1910,615
615,1904
1904,1020
1020,3380
741,2981
2981,2746
2746,3776
3776,1519
1519,4067
4067,1179
1435,4574
4574,1158
1158,3631
3631,600
600,4203
4203,2490
2490,4383
4383,1380
1380,1061
1061,3090
3090,1857
1857,1242
1242,335
2107,339
339,1435
1435,4534
4534,2092
2092,541
541,4068
4068,584
584,1929
1929,3936
3936,1525
1525,609
609,288
288,4574
4574,2229
2229,98
98,335
335,3962
3962,1242
1242,3249
3249,399
399,4237
4237,2497
2497,4674
4674,2789
2789,3353
3353,3815
3815,4288
4288,2359
2359,3211
3211,746
746,4137
4137,786
786,941
941,3307
3307,4630
4630,4251
4251,600
600,340
340,4041
4041,2458
2458,804
804,2989
2989,2609
747,2497
2497,3367
3367,1356
1356,2029
2029,4418
4418,1110
2524,1183
1183,3664
3664,674
674,3117
3117,1113
1113,4499
4499,2137
2137,1314
1314,2158
2158,1158
1158,2399
2399,4169
4169,2533
2533,3665
3665,1466
1466,1364
1364,4219
4219,1154
1154,4410
1693,3227
3227,1862
1862,56
56,2354
1154,3607
